id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11950355,New Duplex in East Vancouver,15546052,Amanda,,Mount Pleasant,49.26113,-123.07866,Entire home/apt,250,3,1,2018-08-04,0.02,1,0,0,18-607924
11950920,Beachfront Basement with Hot Tub and Steam Room,36040844,Deb And Jim,,West Point Grey,49.27017,-123.20673,Entire home/apt,135,5,186,2022-12-06,2.34,4,338,33,23-156302
12020603,"1A Double Room with Private Balcony, AC & Fridge",13397248,Tristyn,,Kensington-Cedar Cottage,49.24394521133688,-123.08003079146147,Private room,55,1,12,2022-10-12,3.46,7,237,12,22-2254629
12044153,Charming 2BDR Suite- Parking- W/D -Heart of Kits,64488310,Amanda,,Kitsilano,49.26045,-123.16306,Entire home/apt,195,30,33,2022-07-31,0.41,2,322,2,
12054175,Point Grey Penthouse with an Incredible View,23122073,Catherine,,West Point Grey,49.26725,-123.18697,Private room,87,30,1,2022-10-28,0.67,1,365,1,
12083773,Two Bedroom Kits Beach Charm,64763529,Aiza And Keenan,,Kitsilano,49.27046,-123.1572,Entire home/apt,135,3,57,2022-09-01,0.70,1,0,8,19-243326
12156919,M.C.M. Sky Port,13505875,Jordan,,Grandview-Woodland,49.28021,-123.06581,Entire home/apt,267,30,14,2021-03-07,0.17,2,342,0,
12157772,Bright Private suite to explore Van,63956042,Dave,,Sunset,49.22312,-123.0865,Entire home/apt,95,2,112,2019-10-11,1.40,1,0,0,19-161278
12209150,Boutique Suites - King Suite,2693243,John,,Downtown,49.28641,-123.11897,Entire home/apt,151,1,59,2021-11-13,0.79,5,0,0,Exempt
12210228,Residency Boutique Suites - Kingroom,2693243,John,,Downtown,49.28622,-123.119,Entire home/apt,150,1,63,2022-11-21,1.02,5,0,21,Exempt
12211949,Modern loft Downtown Vancouver,65683668,Megan,,Downtown,49.27858,-123.12091,Entire home/apt,176,3,68,2022-11-24,0.84,1,52,28,22-156814
12213507,"PENTHOUSE THE CARLYLE, ALBERNI ST DOWNTOWN",4292086,Anne,,West End,49.28256,-123.12658,Entire home/apt,279,30,37,2022-11-18,0.46,15,183,5,18-615266
12245225,Beach Side 30 days +,4484250,Karen,,Kitsilano,49.27235,-123.16137,Entire home/apt,105,30,55,2022-09-30,0.69,5,133,4,
12285968,Modern Laneway House all to yourself in Vancouver,2890760,Vipul,,Kensington-Cedar Cottage,49.2495,-123.08574,Entire home/apt,150,1,2,2022-11-13,2,1,292,2,23-158692
12294424,Bright 2 Bedroom Garden Suite in Mount Pleasant,66272189,Paul,,Mount Pleasant,49.25926,-123.08486,Entire home/apt,275,7,20,2022-11-30,0.26,1,95,14,22-221268
12304783,MODERN COACH HOUSE WITH COURTYARD | NEAR DOWNTOWN,66346226,Marina,,Hastings-Sunrise,49.27648,-123.04172,Entire home/apt,129,2,159,2022-11-25,3.08,1,41,48,22-156607
12309772,Great Location! Spacious 2bed2bath,930612,Melanie,,Downtown,49.28692,-123.12493,Entire home/apt,191,2,173,2022-11-16,2.14,1,15,42,22-157737
