stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.22616,50808,-123.128478,815,,,,Southbound Oak St @ W 49 Ave,0,BUS ZN
49.221231,50810,-123.128635,817,,,,Southbound Oak St @ W 54 Ave,0,BUS ZN
49.191424,55215,-122.837192,5267,,,,Eastbound 104 Ave @ 139 St,0,BUS ZN
49.270822,51687,-123.033606,1701,,,,Northbound Rupert St @ Graveley St,0,BUS ZN
49.191515,58635,-122.844162,5265,,,,Eastbound 104 Ave @ King George Blvd,0,BUS ZN
49.274384,51689,-123.03354,1703,,,,Northbound Rupert St @ William St,0,BUS ZN
49.27613,51690,-123.03352,1704,,,,Northbound Rupert St @ Parker St,0,BUS ZN
49.188849,55210,-122.848551,5262,,,,Surrey Central Station @ Bay 2,0,BUS ZN
49.277384,51692,-123.029097,1706,,,,Eastbound Adanac St @ Skeena St,0,BUS ZN
49.340134,54519,-123.08756,4571,,,,Northbound Delbrook Ave @ St. Ives Cres,0,BUS ZN
49.278725,51694,-123.023311,1708,,,,Northbound Boundary Rd @ Georgia St,0,BUS ZN
49.281408,51695,-123.026254,1709,,,,Kootenay Loop @ Bay 3,0,BUS ZN
49.191416,55217,-122.828132,5269,,,,Eastbound 104 Ave @ 142 St,0,BUS ZN
49.191383,55216,-122.833623,5268,,,,Eastbound 104 Ave @ 140 St,0,BUS ZN
49.169297,52079,-123.124403,2096,,,,Northbound Garden City Rd @ Ferndale Rd,0,BUS ZN
49.166433,52076,-123.133202,2093,,,,Eastbound Cook Rd @ Buswell St,0,BUS ZN
49.162665,58258,-122.778041,11137,,,,Eastbound 88 Ave @ 160 St,0,BUS ZN
49.162869,61201,-122.835189,11135,,,,Westbound 88 Ave @ 140 St,0,BUS ZN
49.162721,61194,-122.857787,11134,,,,Westbound 88 Ave @ 132 St,0,BUS ZN
49.162559,61193,-122.856225,11133,,,,Eastbound 88 Ave @ 132 St,0,BUS ZN
49.1627,61192,-122.868798,11132,,,,Westbound 88 Ave @ 128 St,0,BUS ZN
49.16248,61191,-122.867443,11131,,,,Eastbound 88 Ave @ 128 St,0,BUS ZN
49.161878,61189,-122.889466,11130,,,,Eastbound Nordel Way @ Scott Rd,0,BUS ZN
49.119126,61166,-122.878389,11139,,,,Eastbound 64 Ave @ 124 St,0,BUS ZN
49.042229,61224,-123.10061,11138,,,,Northbound Tsawwassen Dr N @ 2100 Block,0,BUS ZN
49.278447,52998,-122.912574,3029,,,,SFU Transit Exchange @ Bay 4,0,BUS ZN
49.277503,59378,-122.953511,3028,,,,Southbound Duthie Ave @ Union St,0,BUS ZN
49.278088,52995,-122.953334,3026,,,,Northbound Duthie Ave @ Union St,0,BUS ZN
49.275691,52994,-122.953359,3025,,,,Northbound Duthie Ave @ Curtis St,0,BUS ZN
49.268274,52993,-122.953426,3024,,,,Northbound Duthie Ave @ Halifax St,0,BUS ZN
49.212196,52992,-122.958297,3023,,,,Edmonds Station @ Bay 2,0,BUS ZN
